City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Taldan,RU,53.6667,124.8,70.88,21,0,8.84,clear sky
307,Henties Bay,NA,-22.116,14.2845,72.86,34,0,16.4,clear sky
308,Severo-Yeniseyskiy,RU,60.3725,93.0408,48.45,35,62,5.59,broken clouds
309,Pangody,RU,65.85,74.4859,48.0,64,100,20.31,overcast clouds
310,Halifax,CA,44.6453,-63.5724,63.41,95,100,5.75,overcast clouds
311,Akdagmadeni,TR,39.6603,35.8836,48.76,70,15,2.04,few clouds
312,Bafia,CM,4.75,11.2333,70.23,98,100,3.04,light rain
313,Bandarbeyla,SO,9.4942,50.8122,81.21,72,70,20.78,broken clouds
314,Tateyama,JP,34.9833,139.8667,75.22,81,51,9.08,broken clouds
315,San Giovanni Rotondo,IT,41.7049,15.7191,56.82,82,20,2.68,few clouds
316,Baoshan,CN,46.5586,131.4244,64.83,63,44,1.74,scattered clouds
317,Erenhot,CN,43.6475,111.9767,76.69,17,5,5.99,clear sky
318,Columbus,US,39.9612,-82.9988,72.43,77,1,6.58,clear sky
319,Aksu,CN,41.1231,80.2644,86.83,15,0,8.84,clear sky
320,Lompoc,US,34.6391,-120.4579,61.57,85,90,6.06,mist
321,Saint George,US,37.1041,-113.5841,99.19,12,1,6.91,clear sky
322,Slave Lake,CA,55.2834,-114.769,64.38,59,75,4.61,broken clouds
323,Tupik,RU,54.4253,119.9327,72.01,35,0,4.54,clear sky
324,Kathu,TH,7.9178,98.3332,83.7,79,100,7.4,moderate rain
325,Telica,NI,12.522,-86.8594,79.93,70,58,2.44,broken clouds
326,Hornepayne,CA,49.2138,-84.7705,60.37,93,100,12.17,overcast clouds
327,Naze,JP,28.3667,129.4833,70.72,87,100,15.77,light rain
328,Bonavista,CA,48.6499,-53.1147,55.4,97,91,15.46,overcast clouds
329,Marsh Harbour,BS,26.5412,-77.0636,78.17,83,78,14.07,broken clouds
330,Porto Novo,BJ,6.4965,2.6036,75.02,85,95,3.24,overcast clouds
331,Inuvik,CA,68.3499,-133.7218,38.41,96,90,10.36,mist
332,Cayenne,GF,4.9333,-52.3333,78.1,89,0,7.09,clear sky
333,Asau,RO,46.4333,26.4,54.75,83,69,3.78,broken clouds
334,Sokoni,TZ,-6.4333,39.55,79.09,76,53,13.15,broken clouds
335,Belyy Yar,RU,53.6039,91.3903,57.09,88,75,20.2,moderate rain
336,Corinto,GR,37.9407,22.9573,68.68,65,7,1.9,clear sky
337,Wakkanai,JP,45.4094,141.6739,64.38,68,75,33.38,broken clouds
338,Tooele,US,40.5308,-112.2983,85.82,34,75,3.89,haze
339,Haicheng,CN,40.8516,122.7475,76.98,37,29,11.43,scattered clouds
340,Fredericksburg,US,38.3032,-77.4605,73.38,90,1,0.0,mist
341,Hamilton,US,39.1834,-84.5333,71.35,82,1,4.0,clear sky
342,Sahibganj,IN,25.25,87.65,102.04,28,4,7.72,clear sky
343,Bentiu,SS,9.2333,29.8333,75.56,68,58,4.32,broken clouds
344,Jalaun,IN,26.1451,79.3366,97.27,29,87,8.7,overcast clouds
345,Lata,PT,40.1629,-8.3327,55.72,80,13,3.36,few clouds
346,Mkushi,ZM,-13.6202,29.3939,51.93,86,0,11.07,clear sky
347,Iracoubo,GF,5.4802,-53.2011,77.22,91,87,9.86,light rain
348,Itarema,BR,-2.9248,-39.9167,77.25,84,4,11.86,clear sky
349,Savonlinna,FI,61.8699,28.88,59.05,72,0,2.3,clear sky
